HC_1	HC_2	HC_3	HC_4	HC_5	HC_6	BCN_1	BCN_2	BCN_3	BCN_4	BCN_5	BCN_6	BCP_1	BCP_2	BCP_3	BCP_4	BCP_5	BCP_6	Peptides	Razor_unique_peptides	Unique_peptides	Sequence_coverage_	Unique_razor_sequence_coverage_	Unique_sequence_coverage_	Mol_weight_kDa_	Q_value	Score	Intensity	MS_MS_count	Peptide_counts_all_	Peptide_counts_razor_unique_	Peptide_counts_unique_	Number_of_proteins	Protein_IDs	Majority_protein_IDs	Protein_names	Gene_names	id	Fasta.headers
8.58934	8.74113	8.70929	8.57187	8.46844	8.51051	7.30285	8.41337	8.39647	8.70929	8.30801	7.5008	7.0359	8.27782	7.18473	8.13303	8.49374	8.54867	17	17	17	30.6	30.6	30.6	84.141	0	248.5	4669200000	156	17	17	17	1	O14672	O14672	Disintegrin and metalloproteinase domain-containing protein 10	ADAM10	129	sp|O14672|ADA10_HUMAN Disintegrin and metalloproteinase domain-containing protein 10 OS=Homo sapiens OX=9606 GN=ADAM10 PE=1 SV=1
8.14571	7.94645	8.69765	8.47666	7.79844	8.46159	8.18261	8.33081	8.22107	7.45121	8.45464	8.20985	8.76539	8.51051	8.41337	7.56593	8.28273	8.04878	12	12	12	26.9	26.9	26.9	43.974	0	133.01	2632500000	127	12	12	12	1	O14791	O14791	Apolipoprotein L1	APOL1	132	sp|O14791|APOL1_HUMAN Apolipoprotein L1 OS=Homo sapiens OX=9606 GN=APOL1 PE=1 SV=5
7.88971	7.78102	7.2856	7.724	8.00671	7.16127	7.84877	7.36888	7.52593	7.68932	7.56922	7.98949	8.14571	7.37926	6.65663	8.76539	7.94645	7.34227	9	9	4	62.6	62.6	29.2	19.794	0	323.31	2999200000	99	NaN	NaN	NaN	2	P19105;O14950	P19105;O14950	Myosin regulatory light chain 12A;Myosin regulatory light chain 12B	MYL12A;MYL12B	136	sp|P19105|ML12A_HUMAN Myosin regulatory light chain 12A OS=Homo sapiens OX=9606 GN=MYL12A PE=1 SV=2;sp|O14950|ML12B_HUMAN Myosin regulatory light chain 12B OS=Homo sapiens OX=9606 GN=MYL12B PE=1 SV=2
7.37617	7.32936	7.10787	7.57381	7.50487	7.32936	7.48865	7.32243	7.74705	7.38217	7.73923	7.13105	8.30801	7.19784	7.83322	6.89817	7.3343	7.54607	6	6	6	10.9	10.9	10.9	85.386	0	23.259	311020000	20	6	6	6	1	O15117	O15117	FYN-binding protein	FYB	138	sp|O15117|FYB1_HUMAN FYN-binding protein 1 OS=Homo sapiens OX=9606 GN=FYB1 PE=1 SV=2
8.84442	8.85564	8.55555	8.7778	9.19394	8.71903	8.56057	8.51817	8.40471	7.65119	8.06923	7.44654	8.20985	7.36888	7.88437	8.25656	8.16855	8.74113	25	25	24	71.8	71.8	65.6	40.949	0	294.4	10010000000	241	25	25	24	1	O15143	O15143	Actin-related protein 2/3 complex subunit 1B	ARPC1B	140	sp|O15143|ARC1B_HUMAN Actin-related protein 2/3 complex subunit 1B OS=Homo sapiens OX=9606 GN=ARPC1B PE=1 SV=3
8.86936	8.8367	8.46844	8.66145	9.09682	8.57962	8.60522	8.18759	8.24943	7.24539	7.95202	7.30946	7.32936	7.98949	7.64379	8.39647	7.95202	8.66145	24	24	24	73.7	73.7	73.7	34.333	0	323.31	9675900000	314	24	24	24	1	O15144	O15144	Actin-related protein 2/3 complex subunit 2	ARPC2	141	sp|O15144|ARPC2_HUMAN Actin-related protein 2/3 complex subunit 2 OS=Homo sapiens OX=9606 GN=ARPC2 PE=1 SV=1
8.11974	7.93754	7.83902	8.11974	8.18261	7.91797	7.91797	8.01771	7.79338	7.13105	7.44654	6.72841	7.71415	7.6718	7.45537	7.78102	7.65573	8.16855	9	9	9	48.3	48.3	48.3	20.546	0	121	2754200000	117	9	9	9	1	O15145	O15145	Actin-related protein 2/3 complex subunit 3	ARPC3	142	sp|O15145|ARPC3_HUMAN Actin-related protein 2/3 complex subunit 3 OS=Homo sapiens OX=9606 GN=ARPC3 PE=1 SV=3
6.90827	7.16127	6.72841	6.94331	6.59321	7.61508	7.51819	8.11974	8.06923	8.46844	8.13303	8.02622	7.10006	8.18261	7.83902	7.43988	8.52683	8.01771	5	5	5	18.6	18.6	18.6	35.049	0	104.45	996500000	48	5	5	5	1	O15162	O15162	Phospholipid scramblase 1	PLSCR1	143	sp|O15162|PLS1_HUMAN Phospholipid scramblase 1 OS=Homo sapiens OX=9606 GN=PLSCR1 PE=1 SV=1
8.13303	7.93102	7.25816	7.23009	8.14571	7.23009	8.04195	7.34569	7.0359	7.65573	7.11934	7.08641	7.32457	7.43489	7.41569	7.63044	7.26968	7.31517	6	6	6	62.3	62.3	62.3	16.32	0	45.072	1945700000	60	6	6	6	1	O15511	O15511	Actin-related protein 2/3 complex subunit 5	ARPC5	150	sp|O15511|ARPC5_HUMAN Actin-related protein 2/3 complex subunit 5 OS=Homo sapiens OX=9606 GN=ARPC5 PE=1 SV=3
7.26515	7.21767	7.02696	7.29927	7.16855	6.88899	7.58595	7.64682	7.25816	7.28913	7.01869	7.32936	8.09608	7.16855	7.43988	7.32243	7.33816	7.13105	6	6	6	27	27	27	39.589	0	20.531	183300000	17	NaN	NaN	NaN	3	O43488;Q8NHP1;O95154	O43488	Aflatoxin B1 aldehyde reductase member 2	AKR7A2	159	sp|O43488|ARK72_HUMAN Aflatoxin B1 aldehyde reductase member 2 OS=Homo sapiens OX=9606 GN=AKR7A2 PE=1 SV=3
8.45464	8.27091	7.45537	6.89817	8.07834	7.70624	7.28046	7.6237	7.60124	7.78769	7.0359	6.8536	6.72841	7.3343	7.86398	8.46844	7.55306	7.28046	56	33	32	70.4	47	45.8	104.85	0	232.75	3352100000	201	56	33	32	1	O43707	O43707	Alpha-actinin-4	ACTN4	162	sp|O43707|ACTN4_HUMAN Alpha-actinin-4 OS=Homo sapiens OX=9606 GN=ACTN4 PE=1 SV=2
9.53478	9.38652	9.71025	9.34063	9.26253	9.60796	9.5904	9.42149	9.49311	9.69092	9.53478	9.53478	9.5904	9.60796	9.32449	9.69092	9.17961	9.65982	20	20	20	63.1	63.1	63.1	38.087	0	323.31	45824000000	423	20	20	20	1	O43866	O43866	CD5 antigen-like	CD5L	164	sp|O43866|CD5L_HUMAN CD5 antigen-like OS=Homo sapiens OX=9606 GN=CD5L PE=1 SV=1
7.29927	7.22546	7.34227	7.50487	7.50877	7.54607	7.06383	7.70624	6.89817	8.03461	7.43145	7.35033	7.68932	7.49799	7.09185	7.30285	6.89817	7.213	7	7	7	3.7	3.7	3.7	340.26	0	32.845	270500000	18	NaN	NaN	NaN	2	O60229;Q86VW2	O60229	Kalirin	KALRN	166	sp|O60229|KALRN_HUMAN Kalirin OS=Homo sapiens OX=9606 GN=KALRN PE=1 SV=3
6.83293	6.92748	7.22199	7.23689	7.01869	7.63561	7.60124	7.9235	7.15615	7.48865	7.37926	7.64682	8.11465	6.72841	8.22644	7.08641	7.20201	7.35033	2	2	2	5.6	5.6	5.6	45.378	0	4.7509	69460000	18	2	2	2	1	O60496	O60496	Docking protein 2	DOK2	169	sp|O60496|DOK2_HUMAN Docking protein 2 OS=Homo sapiens OX=9606 GN=DOK2 PE=1 SV=2
7.52217	7.20746	7.52217	7.14664	7.27493	6.89817	7.70024	7.22546	7.20201	7.46976	6.97389	7.26515	8.02622	7.54607	7.16127	7.79844	7.0359	7.27493	16	16	16	15.3	15.3	15.3	141.35	0	48.013	470670000	47	16	16	16	1	O60610	O60610	Protein diaphanous homolog 1	DIAPH1	170	sp|O60610|DIAP1_HUMAN Protein diaphanous homolog 1 OS=Homo sapiens OX=9606 GN=DIAPH1 PE=1 SV=2
6.89817	6.91745	7.13571	7.02696	7.12453	7.41078	6.77546	7.99514	8.32582	7.54607	7.23991	6.9359	7.21767	8.25656	7.2927	7.60124	8.01771	7.4074	6	6	2	41.3	41.3	7.9	13.952	0	134.38	13196000000	69	NaN	NaN	NaN	11	Q99880;Q99879;Q99877;Q93079;Q5QNW6;P62807;P58876;P57053;O60814;Q96A08;A0A2R8Y619	Q99880;Q99879;Q99877;Q93079;Q5QNW6;P62807;P58876;P57053;O60814;Q96A08	Histone H2B type 1-L;Histone H2B type 1-M;Histone H2B type 1-N;Histone H2B type 1-H;Histone H2B type 2-F;Histone H2B type 1-C/E/F/G/I;Histone H2B type 1-D;Histone H2B type F-S;Histone H2B type 1-K;Histone H2B type 1-A	HIST1H2BL;HIST1H2BM;HIST1H2BN;HIST1H2BH;HIST2H2BF;HIST1H2BC;HIST1H2BD;H2BFS;HIST1H2BK;HIST1H2BA	172	sp|Q99880|H2B1L_HUMAN Histone H2B type 1-L OS=Homo sapiens OX=9606 GN=H2BC13 PE=1 SV=3;sp|Q99879|H2B1M_HUMAN Histone H2B type 1-M OS=Homo sapiens OX=9606 GN=H2BC14 PE=1 SV=3;sp|Q99877|H2B1N_HUMAN Histone H2B type 1-N OS=Homo sapiens OX=9606 GN=H2BC15 PE=1
9.37244	9.56767	8.9669	9.22764	9.76595	9.13332	8.91828	8.9669	8.58934	8.61359	8.57187	8.34307	7.68525	8.05623	7.6237	8.75805	8.64434	9.4001	37	37	37	77.2	77.2	77.2	66.193	0	323.31	22135000000	462	37	37	37	1	O75083	O75083	WD repeat-containing protein 1	WDR1	174	sp|O75083|WDR1_HUMAN WD repeat-containing protein 1 OS=Homo sapiens OX=9606 GN=WDR1 PE=1 SV=4
7.21767	7.29927	6.9359	7.80243	7.15114	7.02696	7.38775	7.26515	7.71415	7.34227	6.88899	7.42784	7.07097	7.35684	7.81583	6.95279	7.69453	7.81583	5	5	5	30.9	30.9	30.9	21.868	0	12.731	279160000	26	5	5	5	1	O75340	O75340	Programmed cell death protein 6	PDCD6	178	sp|O75340|PDCD6_HUMAN Programmed cell death protein 6 OS=Homo sapiens OX=9606 GN=PDCD6 PE=1 SV=1
7.26203	7.25216	7.20746	7.12453	7.41881	7.27493	7.41569	7.71415	7.70024	7.39106	7.61005	7.50877	7.91114	7.76433	7.11346	7.93102	6.69798	7.15114	16	16	16	46.6	46.6	46.6	51.712	0	44.028	782600000	53	16	16	16	1	O75390	O75390	"Citrate synthase, mitochondrial"	CS	181	"sp|O75390|CISY_HUMAN Citrate synthase, mitochondrial OS=Homo sapiens OX=9606 GN=CS PE=1 SV=2"
7.77516	7.95202	7.73411	7.94645	8.15334	7.74705	7.16127	7.16855	7.60624	7.32457	7.38217	7.0359	6.77546	6.80728	7.04404	7.90495	7.63044	7.68089	13	13	13	60.6	60.6	60.6	33.195	0	52.895	1205300000	74	13	13	13	1	O75558	O75558	Syntaxin-11	STX11	184	sp|O75558|STX11_HUMAN Syntaxin-11 OS=Homo sapiens OX=9606 GN=STX11 PE=1 SV=1
7.42452	7.49799	7.00875	6.99599	7.52217	7.04404	6.98689	7.19784	6.86382	7.20746	7.54607	7.8698	7.63848	7.4074	6.83293	7.51819	7.16855	7.38217	7	7	7	21.2	21.2	21.2	41.216	0	26.705	411070000	22	7	7	7	1	O75563	O75563	Src kinase-associated phosphoprotein 2	SKAP2	185	sp|O75563|SKAP2_HUMAN Src kinase-associated phosphoprotein 2 OS=Homo sapiens OX=9606 GN=SKAP2 PE=1 SV=1
7.68089	8.01771	7.90495	8.003	7.61971	7.84877	7.78102	8.003	7.26515	8.12806	7.88971	7.70024	7.69453	8.13303	8.39647	7.42784	7.77516	7.99514	5	5	5	19.7	19.7	19.7	26.779	0	30.785	1182400000	54	5	5	5	1	O75954	O75954	Tetraspanin-9	TSPAN9	194	sp|O75954|TSN9_HUMAN Tetraspanin-9 OS=Homo sapiens OX=9606 GN=TSPAN9 PE=1 SV=1
7.00875	7.19396	6.90827	7.39826	7.25816	6.86382	7.54987	7.29605	8.09608	8.31557	7.00875	8.04878	8.07834	7.37617	7.46976	8.04878	8.1628	6.59321	15	15	15	40.3	40.3	40.3	47.355	0	75.186	736150000	69	15	15	15	1	O75955	O75955	Flotillin-1	FLOT1	195	sp|O75955|FLOT1_HUMAN Flotillin-1 OS=Homo sapiens OX=9606 GN=FLOT1 PE=1 SV=3
7.44654	7.32457	7.14144	8.15334	7.29927	6.8536	7.15615	8.26492	7.98949	7.15114	7.30946	7.24872	7.07722	6.69798	8.14571	7.13105	8.08705	7.37203	5	5	5	26.6	26.6	26.6	21.253	0	16.826	622240000	26	5	5	5	1	O95445	O95445	Apolipoprotein M	APOM	205	sp|O95445|APOM_HUMAN Apolipoprotein M OS=Homo sapiens OX=9606 GN=APOM PE=1 SV=2
6.95279	6.99599	7.54181	7.15114	7.07722	7.25816	7.4929	7.76433	7.65573	7.19396	8.16855	8.18759	8.22644	7.20746	8.28273	7.01869	8.32582	6.98689	8	8	8	23.2	23.2	23.2	57.011	0	124.79	307710000	27	NaN	NaN	NaN	2	O95497;Q9NY84	O95497	Pantetheinase	VNN1	207	sp|O95497|VNN1_HUMAN Pantetheinase OS=Homo sapiens OX=9606 GN=VNN1 PE=1 SV=2
8.81313	8.67153	8.43198	8.70929	8.68113	8.53404	8.51817	8.28873	8.18759	8.20985	7.77516	6.91745	7.213	7.83902	7.42452	8.91828	8.36517	8.30801	18	18	18	45.2	45.2	45.2	47.173	0	193.15	5762000000	136	18	18	18	1	O95810	O95810	Serum deprivation-response protein	SDPR	214	sp|O95810|CAVN2_HUMAN Caveolae-associated protein 2 OS=Homo sapiens OX=9606 GN=CAVIN2 PE=1 SV=3
7.63561	7.54987	7.44654	7.17844	7.46654	7.65119	7.63848	7.52217	6.98689	7.29605	7.82537	6.92748	6.98689	7.21767	6.9359	8.09608	6.65663	7.60124	8	8	8	43.2	43.2	43.2	26.163	0	29.191	776550000	47	8	8	8	1	O95866	O95866	Protein G6b	G6B	218	sp|O95866|G6B_HUMAN Megakaryocyte and platelet inhibitory receptor G6b OS=Homo sapiens OX=9606 GN=MPIG6B PE=1 SV=1
8.32582	8.34973	8.2168	8.36517	8.32582	8.33528	8.32582	8.12806	8.27091	8.39647	8.1628	8.20385	8.26492	7.78102	7.35684	7.91114	7.74705	8.24524	25	25	24	70.8	70.8	67.2	36.688	0	323.31	34189000000	260	NaN	NaN	NaN	3	P00338;Q6ZMR3;P07864	P00338	L-lactate dehydrogenase A chain	LDHA	221	sp|P00338|LDHA_HUMAN L-lactate dehydrogenase A chain OS=Homo sapiens OX=9606 GN=LDHA PE=1 SV=2
7.58595	7.14144	7.16127	7.47282	8.00671	7.45537	7.63561	7.43145	7.16127	7.37617	7.63848	7.97797	7.25816	7.47282	6.72841	9.02442	7.30946	7.20201	17	17	17	71.4	71.4	71.4	34.234	0	202.79	2117000000	60	17	17	17	1	P00387	P00387	NADH-cytochrome b5 reductase 3;NADH-cytochrome b5 reductase 3 membrane-bound form;NADH-cytochrome b5 reductase 3 soluble form	CYB5R3	224	sp|P00387|NB5R3_HUMAN NADH-cytochrome b5 reductase 3 OS=Homo sapiens OX=9606 GN=CYB5R3 PE=1 SV=3
7.30946	8.28873	8.45464	8.52683	7.83902	8.89336	8.75805	9.13332	9.03818	8.41337	9.73909	9.13332	9.34063	9.13332	9.31062	8.65561	9.16623	8.48587	46	46	46	54.7	54.7	54.7	122.2	0	323.31	12458000000	510	NaN	NaN	NaN	2	P00450;CON__ENSEMBL:ENSBTAP00000031900	P00450	Ceruloplasmin	CP	228	sp|P00450|CERU_HUMAN Ceruloplasmin OS=Homo sapiens OX=9606 GN=CP PE=1 SV=1
9.5192	9.4001	9.05206	9.16623	9.56767	9.17961	9.19394	8.8367	8.88305	8.62037	8.69181	8.88305	8.70929	8.20385	8.38099	9.22764	8.80019	9.20343	43	43	42	63.5	63.5	62.6	83.266	0	323.31	23124000000	586	43	43	42	1	P00488	P00488	Coagulation factor XIII A chain	F13A1	230	sp|P00488|F13A_HUMAN Coagulation factor XIII A chain OS=Homo sapiens OX=9606 GN=F13A1 PE=1 SV=4
8.26492	8.17358	7.87632	7.6237	8.42119	7.60624	8.06923	7.57381	7.53242	7.46654	7.65573	7.52593	8.50087	7.4855	8.34307	7.75371	7.6237	7.91114	19	19	19	77.5	77.5	77.5	32.118	0	323.31	5592700000	172	19	19	19	1	P00491	P00491	Purine nucleoside phosphorylase	PNP	231	sp|P00491|PNPH_HUMAN Purine nucleoside phosphorylase OS=Homo sapiens OX=9606 GN=PNP PE=1 SV=2
7.98949	8.24524	7.97161	8.24943	8.28873	8.04195	8.17358	7.87632	8.07834	8.27091	6.94331	7.41078	7.13105	7.77516	7.22546	7.56922	7.79844	8.1628	35	35	35	80.8	80.8	80.8	44.614	0	323.31	13157000000	255	NaN	NaN	NaN	2	P00558;P07205	P00558	Phosphoglycerate kinase 1	PGK1	234	sp|P00558|PGK1_HUMAN Phosphoglycerate kinase 1 OS=Homo sapiens OX=9606 GN=PGK1 PE=1 SV=3
9.17961	8.57187	9.34063	9.65982	8.2958	9.5192	9.43285	9.53478	9.63874	9.60796	9.19394	9.65982	9.91153	9.32449	9.71025	7.64682	9.31062	9.38652	32	32	32	53.2	53.2	53.2	70.036	0	323.31	50417000000	593	NaN	NaN	NaN	2	P00734;CON__P00735	P00734	Prothrombin;Activation peptide fragment 1;Activation peptide fragment 2;Thrombin light chain;Thrombin heavy chain	F2	236	sp|P00734|THRB_HUMAN Prothrombin OS=Homo sapiens OX=9606 GN=F2 PE=1 SV=2
8.75068	7.71415	8.24061	7.68089	7.13571	8.01042	8.43935	8.46844	9.00573	8.69765	8.58409	9.05206	8.93019	8.67153	9.20343	9.31062	8.30153	8.04195	30	30	30	54.2	54.2	54.2	80.118	0	323.31	7809300000	269	NaN	NaN	NaN	2	P00736;Q9NZP8	P00736	Complement C1r subcomponent;Complement C1r subcomponent heavy chain;Complement C1r subcomponent light chain	C1R	237	sp|P00736|C1R_HUMAN Complement C1r subcomponent OS=Homo sapiens OX=9606 GN=C1R PE=1 SV=2
8.9669	9.69092	9.47099	9.5904	9.16623	9.63874	9.7874	10.232	9.99859	9.82469	10.6911	10.6367	10.0588	10.3112	10.1254	10.0588	10.6367	9.29655	34	34	16	67.7	67.7	44.6	45.205	0	323.31	1.93E+11	816	34	34	16	1	P00738	P00738	Haptoglobin;Haptoglobin alpha chain;Haptoglobin beta chain	HP	238	sp|P00738|HPT_HUMAN Haptoglobin OS=Homo sapiens OX=9606 GN=HP PE=1 SV=1
